Stage_Group,n,mean,median,standard_deviation,minimum,q1,q3,maximum,iqr
Group Stage,10,55.933682330741156,58.547008547008545,10.55023765931313,33.33333333333333,50.595238095238095,63.35227272727273,66.66666666666666,12.757034632034632
Knockout,22,69.44558260107424,71.42857142857143,12.034162371630067,42.857142857142854,62.460815047021946,77.38095238095238,90.9090909090909,14.920137333930434
